x,y,slug,Location
17.88291,32.17156,Aphrodites Kome (Antaiopolites),Aphrodites Kome (Antaiopolites) cluster (27)
15.55676,31.80305,Arsinoites,Arsinoites cluster (239)
1.17853,21.56757,Balaizeh,Balaizeh cluster (3)
8.19326,4.99361,Eleira,Eleira cluster (1)
13.88032,32.17064,Hermopolites,Hermopolites cluster (88)
5.66362,26.02534,Koptos,Koptos cluster (8)
-1.71214,15.96177,Naboo (Apollonopolites Heptakomias),Naboo (Apollonopolites Heptakomias) cluster (1)
14.37332,34.66404,Nessana,Nessana cluster (11)
6.71369,29.73866,Oberägypten,Oberägypten cluster (5)
16.25326,31.72219,Oxyrhynchos,Oxyrhynchos cluster (161)
8.71832,33.62761,Philadelphia,Philadelphia cluster (36)
19.01125,33.23028,Theben,Theben cluster (78)
4.46572,36.8255,Unknown,Unknown cluster (8)
10.60026,44.80299,Wâdi Fawâkhir,Wâdi Fawâkhir cluster (1)
31.10714,44.85,unbekannt,unbekannt cluster (1)
